year_brand,model,link,mileage,transmission,location,price,monthly

"2020
        Toyota","FORTUNER
        LEGENDER 4WD
        2.8",https://www.carsome.co.th/buy-car/toyota/fortuner/2020-toyota-fortuner-legender-4wd-2.8/cil6000,"189,540 กม.",Automatic,Thon Buri,"1,059,000บาท","20,651 บาท
          /เดือน"
"2021
        Toyota","FORTUNER
        LEGENDER 4WD
        2.4",https://www.carsome.co.th/buy-car/toyota/fortuner/2021-toyota-fortuner-legender-4wd-2.4/ccu5000,"70,280 กม.",Automatic,Taling Chan,"1,158,000บาท","22,581 บาท
          /เดือน"
"2013
        Toyota","PRIUS
        STANDARD GRADE
        1.8",https://www.carsome.co.th/buy-car/toyota/prius/2013-toyota-prius-standard-grade-1.8/ct25000,"215,427 กม.",Automatic,Taling Chan,"259,000บาท","5,051 บาท
          /เดือน"
"2009
        Toyota","COROLLA
        ALTIS G
        1.8",https://www.carsome.co.th/buy-car/toyota/corolla/2009-toyota-corolla-altis-g-1.8/cc55000,"138,211 กม.",Automatic,Taling Chan,"139,000บาท","2,711 บาท
          /เดือน"
"2017
        Toyota","HILUX
        REVO SINGLE CAB J PLUS
        2.8",https://www.carsome.co.th/buy-car/toyota/hilux/2017-toyota-hilux-revo-single-cab-j-plus-2.8/cr35000,"150,779 กม.",เกียร์ธรรมดา,Taling Chan,"279,000บาท","5,441 บาท
          /เดือน"
"2015
        Toyota","FORTUNER
        V
        2.4",https://www.carsome.co.th/buy-car/toyota/fortuner/2015-toyota-fortuner-v-2.4/ca35000,"183,264 กม.",Automatic,Taling Chan,"759,000บาท","14,801 บาท
          /เดือน"
,,,,,,,
"2024
        Toyota","VELLFIRE
        HYBRID E-FOUR
        2.5",https://www.carsome.co.th/buy-car/toyota/vellfire/2024-toyota-vellfire-hybrid-e-four-2.5/ck55000,6 กม.,Automatic,Taling Chan,"4,790,000บาท","93,405 บาท
          /เดือน"
"2020
        Toyota","FORTUNER
        SIGMA 4 4WD
        2.8",https://www.carsome.co.th/buy-car/toyota/fortuner/2020-toyota-fortuner-sigma-4-4wd-2.8/cg85000,"209,209 กม.",Automatic,Thon Buri,"979,000บาท","19,091 บาท
          /เดือน"
"2019
        Toyota","VELLFIRE
        Z G EDITION
        2.5",https://www.carsome.co.th/buy-car/toyota/vellfire/2019-toyota-vellfire-z-g-edition-2.5/cf95000,"146,973 กม.",Automatic,Thon Buri,"1,609,000บาท","31,376 บาท
          /เดือน"
"2017
        Toyota","FORTUNER
        V
        2.4",https://www.carsome.co.th/buy-car/toyota/fortuner/2017-toyota-fortuner-v-2.4/cq95000,"141,624 กม.",Automatic,Taling Chan,"788,000บาท","15,366 บาท
          /เดือน"
"2021
        Toyota","FORTUNER
        GR SPORT 4WD
        2.8",https://www.carsome.co.th/buy-car/toyota/fortuner/2021-toyota-fortuner-gr-sport-4wd-2.8/cza5000,"51,033 กม.",Automatic,Bang Yai,"1,479,000บาท","28,841 บาท
          /เดือน"
"2020
        Toyota","INNOVA
        CRYSTA PREMIUM
        2.8",https://www.carsome.co.th/buy-car/toyota/innova/2020-toyota-innova-crysta-premium-2.8/c3c5000,"138,331 กม.",Automatic,Bang Yai,"689,000บาท","13,436 บาท
          /เดือน"
,,,,,,,
"2018
        Toyota","CAMRY
        G
        2.5",https://www.carsome.co.th/buy-car/toyota/camry/2018-toyota-camry-g-2.5/ccc5000,"175,606 กม.",Automatic,Bang Khae,"719,000บาท","14,021 บาท
          /เดือน"
"2020
        Toyota","YARIS
        ATIV ENTRY
        1.2",https://www.carsome.co.th/buy-car/toyota/yaris/2020-toyota-yaris-ativ-entry-1.2/cjc5000,"10,718 กม.",Automatic,Bang Khae,"379,000บาท","7,391 บาท
          /เดือน"
"2008
        Toyota","FORTUNER
        V 4WD
        3.0",https://www.carsome.co.th/buy-car/toyota/fortuner/2008-toyota-fortuner-v-4wd-3.0/c165000,"122,110 กม.",Automatic,Taling Chan,"399,000บาท","7,781 บาท
          /เดือน"
"2012
        Toyota","VIOS
        E SAFETY
        1.5",https://www.carsome.co.th/buy-car/toyota/vios/2012-toyota-vios-e-safety-1.5/cwd5000,"162,402 กม.",Automatic,Bang Khae,"199,000บาท","3,881 บาท
          /เดือน"
"2018
        Toyota","VELLFIRE
        Z G EDITION
        2.5",https://www.carsome.co.th/buy-car/toyota/vellfire/2018-toyota-vellfire-z-g-edition-2.5/c4e5000,"64,298 กม.",Automatic,Taling Chan,"2,298,000บาท","44,811 บาท
          /เดือน"
"2018
        Toyota","ALPHARD
        G F-PACKAGE
        2.5",https://www.carsome.co.th/buy-car/toyota/alphard/2018-toyota-alphard-g-f-package-2.5/c7e5000,"128,694 กม.",Automatic,Taling Chan,"2,198,000บาท","42,861 บาท
          /เดือน"
